Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng,Dominant Pollutant
Chad,Doba,69,Moderate,1,Good,16,Good,0,Good,69,Moderate,8.66,16.85,PM2.5 AQI Value
United States of America,Dorado,117,Unhealthy for Sensitive Groups,0,Good,29,Good,0,Good,117,Unhealthy for Sensitive Groups,18.4657,-66.2726,PM2.5 AQI Value
Niger,Dosso,69,Moderate,1,Good,36,Good,0,Good,69,Moderate,13.05,3.2,PM2.5 AQI Value
United States of America,Duarte,102,Unhealthy for Sensitive Groups,3,Good,24,Good,21,Good,102,Unhealthy for Sensitive Groups,34.161,-117.9504,PM2.5 AQI Value
United States of America,Duncanville,68,Moderate,2,Good,35,Good,5,Good,68,Moderate,32.646,-96.9127,PM2.5 AQI Value
United States of America,Eden,47,Good,1,Good,47,Good,0,Good,21,Good,36.5027,-79.7412,Ozone AQI Value
India,Elumalai,121,Unhealthy for Sensitive Groups,3,Good,8,Good,8,Good,121,Unhealthy for Sensitive Groups,9.865,77.6992,PM2.5 AQI Value
United States of America,Elwood,58,Moderate,1,Good,47,Good,5,Good,58,Moderate,40.8462,-73.3389,PM2.5 AQI Value
Turkey,Erbaa,42,Good,1,Good,42,Good,0,Good,31,Good,40.6667,36.5667,Ozone AQI Value
Germany,Erding,68,Moderate,1,Good,64,Moderate,0,Good,68,Moderate,48.2833,11.9,PM2.5 AQI Value
Guatemala,Escuintla,86,Moderate,2,Good,32,Good,2,Good,86,Moderate,14.2978,-90.7869,PM2.5 AQI Value
Guatemala,Escuintla,86,Moderate,2,Good,32,Good,2,Good,86,Moderate,15.3193,-92.6586,PM2.5 AQI Value
Brazil,Esteio,51,Moderate,1,Good,18,Good,1,Good,51,Moderate,-29.8608,-51.1789,PM2.5 AQI Value
United States of America,Fairborn,44,Good,1,Good,44,Good,1,Good,44,Good,39.801,-84.0094,Ozone AQI Value
Madagascar,Fandriana,57,Moderate,1,Good,14,Good,0,Good,57,Moderate,-20.2333,47.3833,PM2.5 AQI Value
Botswana,Francistown,42,Good,1,Good,29,Good,0,Good,42,Good,-21.1736,27.5125,PM2.5 AQI Value
United States of America,Frankfort,55,Moderate,1,Good,39,Good,3,Good,55,Moderate,38.1924,-84.8643,PM2.5 AQI Value
United States of America,Frankfort,55,Moderate,1,Good,39,Good,3,Good,55,Moderate,-27.2833,28.5167,PM2.5 AQI Value
United States of America,Frankfort,55,Moderate,1,Good,39,Good,3,Good,55,Moderate,41.4892,-87.8363,PM2.5 AQI Value
United States of America,Frankfort,55,Moderate,1,Good,39,Good,3,Good,55,Moderate,40.281,-86.5212,PM2.5 AQI Value
United States of America,Freehold,51,Moderate,1,Good,41,Good,3,Good,51,Moderate,40.2233,-74.2986,PM2.5 AQI Value
Germany,Friedeburg,38,Good,1,Good,38,Good,0,Good,33,Good,53.45,7.8333,Ozone AQI Value
Germany,Gaimersheim,64,Moderate,1,Good,54,Moderate,0,Good,64,Moderate,48.8167,11.3667,PM2.5 AQI Value
India,Gangavalli,113,Unhealthy for Sensitive Groups,2,Good,24,Good,6,Good,113,Unhealthy for Sensitive Groups,11.4381,78.4836,PM2.5 AQI Value
Belgium,Geraardsbergen,52,Moderate,1,Good,38,Good,2,Good,52,Moderate,50.7667,3.8667,PM2.5 AQI Value
Germany,Gevelsberg,54,Moderate,1,Good,44,Good,1,Good,54,Moderate,51.3167,7.3333,PM2.5 AQI Value
Republic of North Macedonia,Gevgelija,81,Moderate,1,Good,47,Good,0,Good,81,Moderate,41.1392,22.5025,PM2.5 AQI Value
United States of America,Gilroy,41,Good,1,Good,29,Good,3,Good,41,Good,37.0046,-121.5854,PM2.5 AQI Value
Canada,Sherbrooke,23,Good,1,Good,23,Good,0,Good,18,Good,45.4,-71.9,Ozone AQI Value
India,Shiliguri,132,Unhealthy for Sensitive Groups,4,Good,29,Good,6,Good,132,Unhealthy for Sensitive Groups,26.71,88.43,PM2.5 AQI Value
United Republic of Tanzania,Shinyanga,22,Good,0,Good,19,Good,0,Good,22,Good,-3.6619,33.4231,PM2.5 AQI Value
Ukraine,Shyroke,47,Good,1,Good,42,Good,0,Good,47,Good,47.6882,33.2654,PM2.5 AQI Value
Italy,Signa,73,Moderate,1,Good,73,Moderate,0,Good,42,Good,43.7833,11.1,Ozone AQI Value
Philippines,Siquijor,54,Moderate,1,Good,24,Good,0,Good,54,Moderate,9.18,123.58,PM2.5 AQI Value
Netherlands,Someren,49,Good,1,Good,39,Good,1,Good,49,Good,51.3833,5.7167,PM2.5 AQI Value
United States of America,Somerville,49,Good,1,Good,41,Good,2,Good,49,Good,42.3908,-71.1014,PM2.5 AQI Value
United States of America,Somerville,49,Good,1,Good,41,Good,2,Good,49,Good,40.5696,-74.6092,PM2.5 AQI Value
United States of America,Somerville,49,Good,1,Good,41,Good,2,Good,49,Good,-38.226,145.177,PM2.5 AQI Value
India,Songadh,107,Unhealthy for Sensitive Groups,1,Good,24,Good,2,Good,107,Unhealthy for Sensitive Groups,21.167,73.564,PM2.5 AQI Value
Poland,Sopot,35,Good,1,Good,35,Good,0,Good,25,Good,54.45,18.5667,Ozone AQI Value
Poland,Sopot,35,Good,1,Good,35,Good,0,Good,25,Good,42.65,24.75,Ozone AQI Value
Italy,Spoleto,53,Moderate,1,Good,53,Moderate,0,Good,52,Moderate,42.7565,12.6855,Ozone AQI Value
Russian Federation,Sterlitamak,38,Good,1,Good,38,Good,0,Good,19,Good,53.6333,55.95,Ozone AQI Value
Russian Federation,Dalmatovo,60,Moderate,1,Good,34,Good,1,Good,60,Moderate,56.2667,62.9333,PM2.5 AQI Value
United Kingdom of Great Britain and Northern Ireland,Darwen,30,Good,1,Good,30,Good,3,Good,28,Good,53.698,-2.461,Ozone AQI Value
United States of America,Davenport,41,Good,1,Good,30,Good,5,Good,41,Good,41.5565,-90.6053,PM2.5 AQI Value
United States of America,Davenport,41,Good,1,Good,30,Good,5,Good,41,Good,28.1587,-81.6083,PM2.5 AQI Value
United States of America,Deerfield Beach,74,Moderate,2,Good,12,Good,11,Good,74,Moderate,26.305,-80.1277,PM2.5 AQI Value
United States of America,Del City,67,Moderate,1,Good,29,Good,2,Good,67,Moderate,35.4483,-97.4408,PM2.5 AQI Value
United States of America,Deltona,65,Moderate,1,Good,18,Good,12,Good,65,Moderate,28.905,-81.2137,PM2.5 AQI Value
Slovakia,Detva,69,Moderate,1,Good,42,Good,0,Good,69,Moderate,48.5514,19.4183,PM2.5 AQI Value
Germany,Diepholz,35,Good,0,Good,34,Good,1,Good,35,Good,52.6072,8.3711,PM2.5 AQI Value
France,Voiron,61,Moderate,1,Good,31,Good,1,Good,61,Moderate,45.3642,5.5906,PM2.5 AQI Value
Poland,Wadowice,72,Moderate,1,Good,38,Good,2,Good,72,Moderate,49.8833,19.5,PM2.5 AQI Value
United States of America,Waimalu,23,Good,0,Good,23,Good,0,Good,22,Good,21.3913,-157.9345,Ozone AQI Value
United States of America,Wake Forest,56,Moderate,2,Good,32,Good,7,Good,56,Moderate,35.9632,-78.514,PM2.5 AQI Value
China,Yushu,72,Moderate,2,Good,58,Moderate,1,Good,72,Moderate,44.8249,126.5451,PM2.5 AQI Value
Russian Federation,Zayukovo,42,Good,1,Good,42,Good,0,Good,33,Good,43.6119,43.3269,Ozone AQI Value
Germany,Zeulenroda,61,Moderate,1,Good,38,Good,2,Good,61,Moderate,50.6486,11.9806,PM2.5 AQI Value
China,Zhuzhou,80,Moderate,3,Good,32,Good,7,Good,80,Moderate,27.8407,113.1469,PM2.5 AQI Value
Belgium,Zonnebeke,40,Good,1,Good,38,Good,2,Good,40,Good,50.8667,2.9833,PM2.5 AQI Value
Netherlands,Zundert,44,Good,1,Good,30,Good,5,Good,44,Good,51.4667,4.6667,PM2.5 AQI Value
New Zealand,Wellington,24,Good,0,Good,24,Good,2,Good,17,Good,-41.2889,174.7772,Ozone AQI Value
New Zealand,Wellington,24,Good,0,Good,24,Good,2,Good,17,Good,52.7001,-2.5157,Ozone AQI Value
New Zealand,Wellington,24,Good,0,Good,24,Good,2,Good,17,Good,50.9755,-3.2243,Ozone AQI Value
New Zealand,Wellington,24,Good,0,Good,24,Good,2,Good,17,Good,26.6461,-80.2699,Ozone AQI Value
New Zealand,Wellington,24,Good,0,Good,24,Good,2,Good,17,Good,11.3655,76.7844,Ozone AQI Value
New Zealand,Wellington,24,Good,0,Good,24,Good,2,Good,17,Good,40.7,-105.0054,Ozone AQI Value
Germany,Welver,70,Moderate,2,Good,25,Good,10,Good,70,Moderate,51.6167,7.9583,PM2.5 AQI Value
Germany,Wendelstein,59,Moderate,1,Good,38,Good,2,Good,59,Moderate,49.3536,11.1483,PM2.5 AQI Value
United States of America,West Milford,65,Moderate,2,Good,21,Good,12,Good,65,Moderate,41.106,-74.3914,PM2.5 AQI Value
United States of America,West New York,73,Moderate,2,Good,19,Good,19,Good,73,Moderate,40.7857,-74.0094,PM2.5 AQI Value
New Zealand,Whangarei,22,Good,0,Good,22,Good,1,Good,21,Good,-35.725,174.3236,Ozone AQI Value
United States of America,Willoughby,88,Moderate,2,Good,6,Good,28,Good,88,Moderate,41.6459,-81.4084,PM2.5 AQI Value
China,Wuxi,176,Unhealthy,5,Good,34,Good,23,Good,176,Unhealthy,31.5667,120.2833,PM2.5 AQI Value
China,Wuxi,176,Unhealthy,5,Good,34,Good,23,Good,176,Unhealthy,26.5895,111.8481,PM2.5 AQI Value
Cuba,Yara,77,Moderate,1,Good,19,Good,3,Good,77,Moderate,20.2767,-76.9469,PM2.5 AQI Value
China,Dongsheng,138,Unhealthy for Sensitive Groups,1,Good,52,Moderate,0,Good,138,Unhealthy for Sensitive Groups,22.8869,113.4563,PM2.5 AQI Value
China,Dongsheng,138,Unhealthy for Sensitive Groups,1,Good,52,Moderate,0,Good,138,Unhealthy for Sensitive Groups,22.6199,113.2895,PM2.5 AQI Value
China,Dongsheng,138,Unhealthy for Sensitive Groups,1,Good,52,Moderate,0,Good,138,Unhealthy for Sensitive Groups,36.9996,105.0029,PM2.5 AQI Value
Russian Federation,Dudinka,46,Good,1,Good,21,Good,0,Good,46,Good,69.4064,86.1764,PM2.5 AQI Value
Germany,Durmersheim,59,Moderate,1,Good,27,Good,3,Good,59,Moderate,48.9383,8.2769,PM2.5 AQI Value
China,Duyun,62,Moderate,2,Good,42,Good,1,Good,62,Moderate,26.2672,107.5143,PM2.5 AQI Value
United States of America,East Bethel,53,Moderate,1,Good,34,Good,8,Good,53,Moderate,45.3557,-93.2038,PM2.5 AQI Value
India,Egra,163,Unhealthy,2,Good,87,Moderate,1,Good,163,Unhealthy,21.9,87.53,PM2.5 AQI Value
Panama,El Coco,76,Moderate,2,Good,18,Good,7,Good,76,Moderate,8.8834,-79.8332,PM2.5 AQI Value
Colombia,El Doncello,51,Moderate,2,Good,0,Good,2,Good,51,Moderate,1.6833,-75.2833,PM2.5 AQI Value
United States of America,El Dorado,79,Moderate,1,Good,26,Good,3,Good,79,Moderate,24.3228,-107.363,PM2.5 AQI Value
United States of America,El Dorado,79,Moderate,1,Good,26,Good,3,Good,79,Moderate,33.2184,-92.664,PM2.5 AQI Value
United States of America,El Dorado,79,Moderate,1,Good,26,Good,3,Good,79,Moderate,37.821,-96.8613,PM2.5 AQI Value
United States of America,El Dorado,79,Moderate,1,Good,26,Good,3,Good,79,Moderate,6.7167,-61.6167,PM2.5 AQI Value
Netherlands,Elburg,34,Good,0,Good,34,Good,1,Good,34,Good,52.45,5.85,Ozone AQI Value
United Kingdom of Great Britain and Northern Ireland,Ellesmere Port,47,Good,1,Good,28,Good,5,Good,47,Good,53.279,-2.897,PM2.5 AQI Value
Turkey,Emet,39,Good,1,Good,39,Good,0,Good,25,Good,39.3333,29.2667,Ozone AQI Value
Mexico,Emiliano Zapata,162,Unhealthy,5,Good,0,Good,15,Good,162,Unhealthy,17.7446,-91.7651,PM2.5 AQI Value
Mexico,Emiliano Zapata,162,Unhealthy,5,Good,0,Good,15,Good,162,Unhealthy,19.65,-98.55,PM2.5 AQI Value
Mexico,Emiliano Zapata,162,Unhealthy,5,Good,0,Good,15,Good,162,Unhealthy,16.5,-92.8667,PM2.5 AQI Value
Germany,Emmendingen,71,Moderate,1,Good,23,Good,5,Good,71,Moderate,48.1214,7.8492,PM2.5 AQI Value
Brazil,Extremoz,29,Good,0,Good,23,Good,1,Good,29,Good,-5.7058,-35.3069,PM2.5 AQI Value
United States of America,Fairhaven,26,Good,1,Good,26,Good,5,Good,23,Good,41.6394,-70.8732,Ozone AQI Value
United States of America,Fairview Park,45,Good,1,Good,45,Good,4,Good,32,Good,41.4419,-81.853,Ozone AQI Value
Germany,Feuchtwangen,55,Moderate,1,Good,29,Good,3,Good,55,Moderate,49.1667,10.3167,PM2.5 AQI Value
Italy,Fisciano,44,Good,1,Good,44,Good,2,Good,43,Good,40.7667,14.8,Ozone AQI Value
Philippines,Mariveles,42,Good,0,Good,27,Good,0,Good,42,Good,14.4333,120.4833,PM2.5 AQI Value
United States of America,Marrero,40,Good,1,Good,19,Good,6,Good,40,Good,29.8871,-90.1126,PM2.5 AQI Value
India,Maur,500,Hazardous,1,Good,62,Moderate,1,Good,433,Hazardous,30.0833,75.25,PM2.5 AQI Value
India,Maur,500,Hazardous,1,Good,62,Moderate,1,Good,433,Hazardous,47.3417,8.6703,PM2.5 AQI Value
nan,Mawlamyine,53,Moderate,0,Good,22,Good,0,Good,53,Moderate,16.4847,97.6258,PM2.5 AQI Value
Belgium,Meise,34,Good,0,Good,28,Good,3,Good,34,Good,50.9333,4.3333,PM2.5 AQI Value
United States of America,Merritt Island,48,Good,1,Good,26,Good,5,Good,48,Good,28.3139,-80.6708,PM2.5 AQI Value
Iran (Islamic Republic of),Meybod,167,Unhealthy,1,Good,43,Good,0,Good,167,Unhealthy,32.2444,54.0186,PM2.5 AQI Value
France,Miramas,52,Moderate,1,Good,30,Good,2,Good,52,Moderate,43.5822,5.0019,PM2.5 AQI Value
Netherlands,Moerdijk,33,Good,0,Good,33,Good,1,Good,27,Good,51.65,4.6,Ozone AQI Value
Malawi,Monkey Bay,55,Moderate,1,Good,20,Good,0,Good,55,Moderate,-14.0833,34.9167,PM2.5 AQI Value
India,Morena,196,Unhealthy,1,Good,43,Good,0,Good,196,Unhealthy,26.5,78.0,PM2.5 AQI Value
nan,Mtwara,29,Good,0,Good,20,Good,0,Good,29,Good,-10.2736,40.1828,PM2.5 AQI Value
Thailand,Mukdahan,61,Moderate,0,Good,30,Good,0,Good,61,Moderate,16.5431,104.7228,PM2.5 AQI Value
India,Mundi,140,Unhealthy for Sensitive Groups,0,Good,34,Good,0,Good,140,Unhealthy for Sensitive Groups,22.07,76.5,PM2.5 AQI Value
Russian Federation,Murmansk,31,Good,1,Good,31,Good,0,Good,9,Good,68.9706,33.075,Ozone AQI Value
Australia,Muswellbrook,22,Good,0,Good,22,Good,3,Good,9,Good,-32.2654,150.8885,Ozone AQI Value
Pakistan,Muzaffarabad,80,Moderate,1,Good,80,Moderate,0,Good,60,Moderate,34.3583,73.4722,Ozone AQI Value
India,Muzaffarnagar,307,Hazardous,4,Good,199,Unhealthy,4,Good,307,Hazardous,29.482,77.7,PM2.5 AQI Value
Thailand,Nakhon Phanom,59,Moderate,0,Good,28,Good,0,Good,59,Moderate,17.4069,104.7808,PM2.5 AQI Value
United States of America,Nantucket,39,Good,1,Good,39,Good,0,Good,25,Good,41.2831,-70.0692,Ozone AQI Value
United States of America,Lake Grove,53,Moderate,1,Good,25,Good,13,Good,53,Moderate,40.8586,-73.1168,PM2.5 AQI Value
India,Lalganj,204,Very Unhealthy,4,Good,173,Unhealthy,2,Good,204,Very Unhealthy,26.1277,80.7855,PM2.5 AQI Value
Italy,Lanciano,64,Moderate,1,Good,41,Good,3,Good,64,Moderate,42.2333,14.3833,PM2.5 AQI Value
Italy,Lariano,48,Good,1,Good,48,Good,1,Good,35,Good,41.7333,12.8333,Ozone AQI Value
Australia,Launceston,29,Good,0,Good,29,Good,0,Good,12,Good,-41.4419,147.145,Ozone AQI Value
Australia,Launceston,29,Good,0,Good,29,Good,0,Good,12,Good,50.637,-4.36,Ozone AQI Value
United States of America,Laurel,54,Moderate,1,Good,31,Good,6,Good,54,Moderate,39.0949,-76.8622,PM2.5 AQI Value
United States of America,Laurel,54,Moderate,1,Good,31,Good,6,Good,54,Moderate,14.05,120.9,PM2.5 AQI Value
United States of America,Laurel,54,Moderate,1,Good,31,Good,6,Good,54,Moderate,37.6375,-77.5062,PM2.5 AQI Value
United States of America,Laurel,54,Moderate,1,Good,31,Good,6,Good,54,Moderate,31.6956,-89.1449,PM2.5 AQI Value
United States of America,Laurel,54,Moderate,1,Good,31,Good,6,Good,54,Moderate,27.1507,-82.4534,PM2.5 AQI Value
United States of America,Lincolnwood,92,Moderate,3,Good,5,Good,30,Good,92,Moderate,42.0054,-87.733,PM2.5 AQI Value
Malawi,Liwonde,64,Moderate,1,Good,20,Good,0,Good,64,Moderate,-15.0667,35.2333,PM2.5 AQI Value
United Kingdom of Great Britain and Northern Ireland,Long Eaton,51,Moderate,1,Good,13,Good,10,Good,51,Moderate,52.898,-1.271,PM2.5 AQI Value
Angola,Luanda,164,Unhealthy,8,Good,7,Good,11,Good,164,Unhealthy,-8.8383,13.2344,PM2.5 AQI Value
nan,Luganville,22,Good,0,Good,22,Good,0,Good,17,Good,-15.5333,167.1667,Ozone AQI Value
Brazil,Mairinque,127,Unhealthy for Sensitive Groups,3,Good,6,Good,11,Good,127,Unhealthy for Sensitive Groups,-23.5464,-47.1836,PM2.5 AQI Value
Philippines,Mambajao,112,Unhealthy for Sensitive Groups,1,Good,23,Good,0,Good,112,Unhealthy for Sensitive Groups,9.25,124.7167,PM2.5 AQI Value
India,Mangaldai,64,Moderate,2,Good,40,Good,0,Good,64,Moderate,26.43,92.03,PM2.5 AQI Value
Germany,Mannheim,30,Good,0,Good,30,Good,1,Good,24,Good,49.4878,8.4661,Ozone AQI Value
India,Marhaura,212,Very Unhealthy,4,Good,172,Unhealthy,2,Good,212,Very Unhealthy,25.97,84.87,PM2.5 AQI Value
Russian Federation,Kamyshin,35,Good,1,Good,30,Good,0,Good,35,Good,50.0833,45.4,PM2.5 AQI Value
Togo,Kara,45,Good,2,Good,11,Good,1,Good,45,Good,9.5511,1.1861,PM2.5 AQI Value
Nepal,Kathmandu,123,Unhealthy for Sensitive Groups,2,Good,60,Moderate,0,Good,123,Unhealthy for Sensitive Groups,27.7172,85.324,PM2.5 AQI Value
Philippines,Katipunan,152,Unhealthy,1,Good,14,Good,0,Good,152,Unhealthy,8.5134,123.2847,PM2.5 AQI Value
United Kingdom of Great Britain and Northern Ireland,Keighley,27,Good,1,Good,24,Good,3,Good,27,Good,53.867,-1.911,PM2.5 AQI Value
India,Kelamangalam,59,Moderate,0,Good,23,Good,0,Good,59,Moderate,12.6031,77.8519,PM2.5 AQI Value
Germany,Kelheim,48,Good,1,Good,28,Good,3,Good,48,Good,48.9167,11.8667,PM2.5 AQI Value
Germany,Kempten,32,Good,1,Good,23,Good,3,Good,32,Good,47.7333,10.3167,PM2.5 AQI Value
India,Khagaul,201,Very Unhealthy,2,Good,116,Unhealthy for Sensitive Groups,1,Good,201,Very Unhealthy,25.579,85.0456,PM2.5 AQI Value
Russian Federation,Kharabali,39,Good,1,Good,39,Good,0,Good,21,Good,47.405,47.2556,Ozone AQI Value
India,Kharagpur,181,Unhealthy,1,Good,71,Moderate,1,Good,181,Unhealthy,22.3302,87.3237,PM2.5 AQI Value
India,Kharagpur,181,Unhealthy,1,Good,71,Moderate,1,Good,181,Unhealthy,25.1245,86.5558,PM2.5 AQI Value
India,Khilchipur,156,Unhealthy,1,Good,39,Good,0,Good,156,Unhealthy,24.0394,76.578,PM2.5 AQI Value
Canada,Kitchener,55,Moderate,1,Good,36,Good,4,Good,55,Moderate,43.4186,-80.4728,PM2.5 AQI Value
Russian Federation,Klimovsk,49,Good,1,Good,30,Good,8,Good,49,Good,55.3667,37.5333,PM2.5 AQI Value
Poland,Koluszki,32,Good,1,Good,31,Good,1,Good,32,Good,51.75,19.8,PM2.5 AQI Value
Germany,Kornwestheim,41,Good,1,Good,24,Good,3,Good,41,Good,48.8598,9.1852,PM2.5 AQI Value
Poland,Kutno,34,Good,1,Good,34,Good,1,Good,27,Good,52.2333,19.3667,Ozone AQI Value
United States of America,North Druid Hills,62,Moderate,2,Good,32,Good,9,Good,62,Moderate,33.8185,-84.3254,PM2.5 AQI Value
United Kingdom of Great Britain and Northern Ireland,Nottingham,49,Good,1,Good,17,Good,8,Good,49,Good,52.9533,-1.15,PM2.5 AQI Value
Brazil,Nova Russas,47,Good,1,Good,4,Good,3,Good,47,Good,-4.7,-40.5667,PM2.5 AQI Value
Ukraine,Nova Vodolaha,55,Moderate,1,Good,32,Good,1,Good,55,Moderate,49.7197,35.8772,PM2.5 AQI Value
United States of America,Ocoee,50,Good,1,Good,20,Good,12,Good,50,Good,28.5796,-81.5332,PM2.5 AQI Value
Germany,Offenburg,33,Good,1,Good,27,Good,2,Good,33,Good,48.4667,7.9333,PM2.5 AQI Value
United Republic of Tanzania,Karema,195,Unhealthy,10,Good,25,Good,10,Good,195,Unhealthy,-6.8205,30.4389,PM2.5 AQI Value
Germany,Kaufbeuren,56,Moderate,1,Good,26,Good,5,Good,56,Moderate,47.88,10.6225,PM2.5 AQI Value
Russian Federation,Kemerovo,42,Good,1,Good,42,Good,0,Good,42,Good,55.3667,86.0667,Ozone AQI Value
India,Lakhipur,55,Moderate,2,Good,29,Good,0,Good,55,Moderate,26.2897,90.2281,PM2.5 AQI Value
India,Lakhipur,55,Moderate,2,Good,29,Good,0,Good,55,Moderate,24.8,93.02,PM2.5 AQI Value
India,Lakhipur,55,Moderate,2,Good,29,Good,0,Good,55,Moderate,26.3281,88.3863,PM2.5 AQI Value
Pakistan,Larkana,159,Unhealthy,1,Good,48,Good,0,Good,159,Unhealthy,27.5583,68.2111,PM2.5 AQI Value
Germany,Laubach,74,Moderate,2,Good,33,Good,7,Good,74,Moderate,50.5333,8.99,PM2.5 AQI Value
United States of America,Lawndale,89,Moderate,2,Good,11,Good,30,Good,89,Moderate,33.8884,-118.3531,PM2.5 AQI Value
France,Le Mans,30,Good,1,Good,30,Good,2,Good,24,Good,48.0077,0.1984,Ozone AQI Value
United States of America,Leesburg,58,Moderate,2,Good,22,Good,12,Good,58,Moderate,28.7672,-81.8962,PM2.5 AQI Value
United States of America,Leesburg,58,Moderate,2,Good,22,Good,12,Good,58,Moderate,39.1057,-77.5544,PM2.5 AQI Value
United States of America,Lehigh Acres,66,Moderate,2,Good,9,Good,11,Good,66,Moderate,26.612,-81.6388,PM2.5 AQI Value
Germany,Lehre,55,Moderate,1,Good,28,Good,4,Good,55,Moderate,52.3167,10.6667,PM2.5 AQI Value
Netherlands,Lelystad,26,Good,1,Good,26,Good,5,Good,26,Good,52.5,5.4833,Ozone AQI Value
Ireland,Letterkenny,31,Good,1,Good,31,Good,1,Good,23,Good,54.9566,-7.7203,Ozone AQI Value
France,Kourou,57,Moderate,0,Good,21,Good,0,Good,57,Moderate,5.16,-52.6499,PM2.5 AQI Value
India,Kundgol,28,Good,1,Good,28,Good,1,Good,26,Good,15.2561,75.2474,Ozone AQI Value
Russian Federation,Kungur,33,Good,1,Good,33,Good,0,Good,32,Good,57.4333,56.9333,Ozone AQI Value
Russian Federation,Kuznetsk,55,Moderate,1,Good,38,Good,0,Good,55,Moderate,53.1167,46.6,PM2.5 AQI Value
nan,La Porte,85,Moderate,2,Good,14,Good,9,Good,85,Moderate,29.6689,-95.0484,PM2.5 AQI Value
nan,La Porte,85,Moderate,2,Good,14,Good,9,Good,85,Moderate,41.6069,-86.7142,PM2.5 AQI Value
South Africa,Kimberley,67,Moderate,2,Good,10,Good,6,Good,67,Moderate,-28.7383,24.7639,PM2.5 AQI Value
United States of America,Kings Mountain,72,Moderate,2,Good,28,Good,13,Good,72,Moderate,35.2349,-81.3501,PM2.5 AQI Value
Kenya,Kisii,99,Moderate,3,Good,25,Good,1,Good,99,Moderate,-0.6833,34.7667,PM2.5 AQI Value
Japan,Kitsuki,52,Moderate,1,Good,47,Good,2,Good,52,Moderate,33.4167,131.6167,PM2.5 AQI Value
Uganda,Koboko,67,Moderate,1,Good,20,Good,0,Good,67,Moderate,3.41,30.96,PM2.5 AQI Value
Japan,Komatsu,55,Moderate,1,Good,49,Good,2,Good,55,Moderate,36.4083,136.4455,PM2.5 AQI Value
Russian Federation,Kondopoga,32,Good,1,Good,32,Good,0,Good,17,Good,62.2,34.2833,Ozone AQI Value
Colombia,San Antero,66,Moderate,1,Good,17,Good,1,Good,66,Moderate,9.3833,-75.75,PM2.5 AQI Value
Guatemala,San Pedro Ayampuc,74,Moderate,2,Good,8,Good,5,Good,74,Moderate,14.7785,-90.4525,PM2.5 AQI Value
Costa Rica,San Vicente,55,Moderate,1,Good,11,Good,7,Good,55,Moderate,13.6453,-88.7842,PM2.5 AQI Value
Costa Rica,San Vicente,55,Moderate,1,Good,11,Good,7,Good,55,Moderate,9.9636,-84.0454,PM2.5 AQI Value
Costa Rica,San Vicente,55,Moderate,1,Good,11,Good,7,Good,55,Moderate,10.5281,119.2542,PM2.5 AQI Value
Costa Rica,San Vicente,55,Moderate,1,Good,11,Good,7,Good,55,Moderate,6.2819,-75.3322,PM2.5 AQI Value
Costa Rica,San Vicente,55,Moderate,1,Good,11,Good,7,Good,55,Moderate,17.5947,120.3753,PM2.5 AQI Value
Costa Rica,San Vicente,55,Moderate,1,Good,11,Good,7,Good,55,Moderate,14.1061,122.8733,PM2.5 AQI Value
Costa Rica,San Vicente,55,Moderate,1,Good,11,Good,7,Good,55,Moderate,-1.9,-79.2333,PM2.5 AQI Value
Germany,Sankt Wendel,60,Moderate,1,Good,37,Good,3,Good,60,Moderate,49.4667,7.1667,PM2.5 AQI Value
El Salvador,Puerto El Triunfo,110,Unhealthy for Sensitive Groups,2,Good,34,Good,6,Good,110,Unhealthy for Sensitive Groups,13.2833,-88.55,PM2.5 AQI Value
Cuba,Puerto Padre,48,Good,1,Good,25,Good,1,Good,48,Good,21.195,-76.6017,PM2.5 AQI Value
nan,Puerto Vallarta,61,Moderate,2,Good,12,Good,2,Good,61,Moderate,20.6458,-105.2222,PM2.5 AQI Value
Somalia,Qandala,120,Unhealthy for Sensitive Groups,0,Good,20,Good,0,Good,120,Unhealthy for Sensitive Groups,11.4711,49.8739,PM2.5 AQI Value
Iran (Islamic Republic of),Qorveh,87,Moderate,1,Good,59,Moderate,0,Good,87,Moderate,35.1664,47.8044,PM2.5 AQI Value
Germany,Radeberg,79,Moderate,1,Good,35,Good,2,Good,79,Moderate,51.1167,13.9167,PM2.5 AQI Value
Italy,Orvieto,49,Good,1,Good,38,Good,4,Good,49,Good,42.7183,12.1103,PM2.5 AQI Value
Myanmar,Pakokku,25,Good,0,Good,25,Good,0,Good,19,Good,21.332,95.0866,Ozone AQI Value
Mexico,Piedras Negras,104,Unhealthy for Sensitive Groups,1,Good,27,Good,3,Good,104,Unhealthy for Sensitive Groups,28.7,-100.5231,PM2.5 AQI Value
Peru,Pimentel,28,Good,0,Good,22,Good,0,Good,28,Good,19.1833,-70.1,PM2.5 AQI Value
Russian Federation,Plast,35,Good,1,Good,35,Good,0,Good,19,Good,54.3833,60.8167,Ozone AQI Value
Germany,Plauen,68,Moderate,1,Good,40,Good,1,Good,68,Moderate,50.4833,12.1167,PM2.5 AQI Value
United States of America,Pleasantville,79,Moderate,1,Good,67,Moderate,1,Good,79,Moderate,39.39,-74.5169,PM2.5 AQI Value
