Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng,Dominant Pollutant
Italy,Guardiagrele,52,Moderate,2,Good,38,Good,7,Good,52,Moderate,42.2,14.2167,PM2.5 AQI Value
United Kingdom of Great Britain and Northern Ireland,Guildford,51,Moderate,1,Good,25,Good,6,Good,51,Moderate,51.2365,-0.5703,PM2.5 AQI Value
Russian Federation,Gukovo,38,Good,1,Good,38,Good,0,Good,13,Good,48.05,39.9167,Ozone AQI Value
United States of America,Hazelwood,88,Moderate,2,Good,11,Good,20,Good,88,Moderate,38.7931,-90.3899,PM2.5 AQI Value
Germany,Heddesheim,54,Moderate,1,Good,31,Good,3,Good,54,Moderate,49.5053,8.6033,PM2.5 AQI Value
Germany,Heiligenhaus,44,Good,1,Good,28,Good,3,Good,44,Good,51.3167,6.9667,PM2.5 AQI Value
United Kingdom of Great Britain and Northern Ireland,Hemel Hempstead,51,Moderate,1,Good,26,Good,6,Good,51,Moderate,51.7526,-0.4692,PM2.5 AQI Value
United States of America,Hicksville,67,Moderate,2,Good,15,Good,23,Good,67,Moderate,40.7637,-73.5245,PM2.5 AQI Value
Germany,Haiger,49,Good,1,Good,25,Good,3,Good,49,Good,50.7422,8.2039,PM2.5 AQI Value
China,Hangzhou,203,Very Unhealthy,5,Good,203,Very Unhealthy,5,Good,151,Unhealthy,30.25,120.1675,Ozone AQI Value
Germany,Harrislee,35,Good,0,Good,32,Good,0,Good,35,Good,54.7972,9.3764,PM2.5 AQI Value
United States of America,Harrison,90,Moderate,1,Good,25,Good,2,Good,90,Moderate,40.7431,-74.1531,PM2.5 AQI Value
United States of America,Harrison,90,Moderate,1,Good,25,Good,2,Good,90,Moderate,41.0236,-73.7193,PM2.5 AQI Value
United States of America,Harrison,90,Moderate,1,Good,25,Good,2,Good,90,Moderate,36.2438,-93.1198,PM2.5 AQI Value
United States of America,Harrison,90,Moderate,1,Good,25,Good,2,Good,90,Moderate,39.2584,-84.7868,PM2.5 AQI Value
United States of America,Harrison,90,Moderate,1,Good,25,Good,2,Good,90,Moderate,44.1935,-88.2941,PM2.5 AQI Value
United States of America,Harrison,90,Moderate,1,Good,25,Good,2,Good,90,Moderate,40.6374,-79.7173,PM2.5 AQI Value
Germany,Hasbergen,36,Good,0,Good,34,Good,1,Good,36,Good,52.2167,7.9167,PM2.5 AQI Value
France,Haubourdin,48,Good,1,Good,28,Good,4,Good,48,Good,50.6092,2.9869,PM2.5 AQI Value
United States of America,Taunton,41,Good,1,Good,28,Good,10,Good,41,Good,51.019,-3.1,PM2.5 AQI Value
United States of America,Taunton,41,Good,1,Good,28,Good,10,Good,41,Good,41.9036,-71.0943,PM2.5 AQI Value
New Zealand,Tauranga,19,Good,0,Good,19,Good,1,Good,17,Good,-37.6833,176.1667,Ozone AQI Value
Italy,Teano,47,Good,1,Good,47,Good,1,Good,36,Good,41.25,14.0667,Ozone AQI Value
India,Tekkali,155,Unhealthy,3,Good,82,Moderate,1,Good,155,Unhealthy,18.6057,84.2355,PM2.5 AQI Value
Brazil,Teodoro Sampaio,46,Good,1,Good,9,Good,1,Good,46,Good,-22.5328,-52.1678,PM2.5 AQI Value
Mexico,Tequila,64,Moderate,1,Good,15,Good,2,Good,64,Moderate,20.8794,-103.8356,PM2.5 AQI Value
Italy,Teramo,44,Good,1,Good,44,Good,1,Good,38,Good,42.6589,13.7039,Ozone AQI Value
China,Tianjin,142,Unhealthy for Sensitive Groups,4,Good,113,Unhealthy for Sensitive Groups,9,Good,142,Unhealthy for Sensitive Groups,39.1467,117.2056,PM2.5 AQI Value
Philippines,Toboso,54,Moderate,1,Good,20,Good,0,Good,54,Moderate,10.7167,123.5167,PM2.5 AQI Value
Japan,Tokorozawa,60,Moderate,1,Good,44,Good,3,Good,60,Moderate,35.7996,139.4686,PM2.5 AQI Value
Mexico,Toluca,166,Unhealthy,4,Good,8,Good,19,Good,166,Unhealthy,19.2925,-99.6569,PM2.5 AQI Value
Brazil,Itapissuma,27,Good,0,Good,23,Good,1,Good,27,Good,-7.7764,-34.8919,PM2.5 AQI Value
Brazil,Itarantim,23,Good,1,Good,7,Good,1,Good,23,Good,-15.66,-40.0658,PM2.5 AQI Value
Brazil,Itumbiara,31,Good,1,Good,13,Good,0,Good,31,Good,-18.4167,-49.2167,PM2.5 AQI Value
El Salvador,Izalco,90,Moderate,2,Good,22,Good,9,Good,90,Moderate,13.7333,-89.6667,PM2.5 AQI Value
Russian Federation,Izberbash,51,Moderate,1,Good,38,Good,0,Good,51,Moderate,42.5633,47.8636,PM2.5 AQI Value
India,Jabalpur,170,Unhealthy,1,Good,38,Good,0,Good,170,Unhealthy,23.1667,79.9333,PM2.5 AQI Value
Brazil,Jaguaquara,22,Good,0,Good,9,Good,1,Good,22,Good,-13.5308,-39.9708,PM2.5 AQI Value
Poland,Jarocin,47,Good,1,Good,27,Good,2,Good,47,Good,51.9667,17.5,PM2.5 AQI Value
